ID ACB,Nombre ACB,ID Eurocup,Nombre Eurocup,ID Euroleague,Nombre Euroleague,ID Saporta,Nombre Saporta,ID Copa del Rey,Nombre Copa del Rey
30000045,V. Marinkovic,,,4761,"MARINKOVIC, VANJA",,,30000045,V. Marinkovic
30000046,J. Loyd,,,9754,"LOYD, JORDAN",,,,
30000043,B. Motum,,,6599,"MOTUM, BROCK",,,,
20202077,Q. Colom,,,6533,"COLOM, QUINO",,,20202077,Q. Colom
20211942,M. Ndour,,,6726,"NDOUR, MAURICE",,,20211942,M. Ndour
30000016,T. Pavelka,,,7533,"PAVELKA, TOMAS",,,,
20212954,K. Prepelic,2661,"PREPELIC, KLEMEN",2661,"PREPELIC, KLEMEN",,,20212954,K. Prepelic
30000314,N. Kalinic,,,4866,"KALINIC, NIKOLA",,,30000314,N. Kalinic
30000315,D. Williams,,,9006,"WILLIAMS, DERRICK",,,,
30000313,M. Hermannsson,8780,"HERMANNSSON, MARTIN",8780,"HERMANNSSON, MARTIN",,,30000313,M. Hermannsson
20211129,J. Pradilla,10393,"PRADILLA, JAIME",10393,"PRADILLA, JAIME",,,20211129,J. Pradilla
20212139,M. Jiménez,9105,"JIMENEZ, MILLAN",9105,"JIMENEZ, MILLAN",,,,
20212102,G. Ferrando,9101,"FERRANDO, GUILLEM",9101,"FERRANDO, GUILLEM",,,,
20211451,N. Dimitrijevic,6085,"DIMITRIJEVIC, NENAD",,,,,20211451,N. Dimitrijevic
30001258,G. Bressan,11276,"BRESSAN, GONZALO",,,,,,
30000173,A. Bellver,9106,"BELLVER, ALEJANDRO",,,,,,
30000076,J. Rivero,11214,"RIVERO, JASIEL",11214,"RIVERO, JASIEL",,,30000076,J. Rivero
20211660,López-Arostegui,5356,"LOPEZ-AROSTEGUI, XABI",5356,"LOPEZ-AROSTEGUI, XABI",,,20211660,López-Arostegui
30000168,R. Vila,10799,"VILA, RAFAEL",,,,,,
30001854,O. Hanlan,,,,,,,,
30000954,J. Webb,,,11971,"WEBB III, JAMES",,,,
30002048,C. Jones,10568,"JONES, CHRIS",10568,"JONES, CHRIS",,,30002048,C. Jones
30001917,J. Radebaugh,,,11972,"RADEBAUGH, JONAH",,,30001917,J. Radebaugh
30000909,K. Alexander,,,11973,"ALEXANDER, KYLE",,,30000909,K. Alexander
30002061,J. Harper,,,11970,"HARPER, JARED",,,30002061,J. Harper
20213202,L. Marí,10754,"MARI, LUCAS",10754,"MARÍ, LUCAS",,,,
30001134,S. Evans,,,10677,"EVANS, SHANNON",,,30001134,S. Evans
30001360,S. De Larrea,10750,"DE LARREA, SERGIO",10750,"DE LARREA, SERGIO",,,,
30002724,N. Reuvers,12738,"REUVERS, NATHAN",12738,"REUVERS, NATHAN",,,30002724,N. Reuvers
30001509,D. Inglis,,,3960,"INGLIS, DAMIEN",,,30001509,D. Inglis
30002442,S. Jovic,4863,"JOVIC, STEFAN",4863,"JOVIC, STEFAN",,,30002442,S. Jovic
30002729,B. Touré,,,12739,"TOURE, BOUBACAR",,,,
30000287,K. Robertson,,,12740,"ROBERTSON, KASSIUS",,,30000287,K. Robertson
30000019,B. Davies,,,7870,"DAVIES, BRANDON",,,30000019,B. Davies
30002811,S. Ojeleye,11982,"OJELEYE, SEMI",11982,"OJELEYE, SEMI",,,30002811,S. Ojeleye
30002865,J. Anderson,,,12795,"ANDERSON, JUSTIN",,,30002865,J. Anderson
20211617,K. Pangos,,,6433,"PANGOS, KEVIN",,,20211617,K. Pangos
30003341,A. Kaba,,,,,,,,
30000107,B. Badio,7527,"BADIO, BRANCOU",7527,"BADIO, BRANCOU",,,30000107,B. Badio
30000514,J. Montero,10042,"MONTERO, JEAN",10042,"MONTERO, JEAN",,,30000514,J. Montero
30001954,E. Happ,9864,"HAPP, ETHAN",,,,,,
30000032,M. Costello,10444,"COSTELLO, MATTHEW",10444,"COSTELLO, MATTHEW",,,30000032,M. Costello
30003405,N. Sestina,11980,"SESTINA, NATHAN",11980,"SESTINA, NATHAN",,,30003405,N. Sestina
30003507,G. Filipovic,4548,"FILIPOVIC, GORAN",,,,,,
30003505,A. Brimah,12075,"BRIMAH, AMIDA",,,,,30003505,A. Brimah
30003936,J. Soriano,,,,,,,,
20213321,J. Carot,11369,"CAROT, JORGE",,,,,,
30001981,K. Taylor,,,11217,"TAYLOR, KAMERON",,,,
30003991,O. Moore,,,14115,"MOORE, OMARI",,,,
30003973,N. Sako,,,10545,"SAKO, NEAL",,,,
30001900,D. Thompson,,,11078,"THOMPSON, DARIUS",,,,
30002683,I. Iroegbu,,,14133,"IROEGBU, IKE",,,,
30004053,I. Nogués,,,10162,"NOGUES, ISAAC",,,,
30004884,B. Key,,,14168,"KEY, BRAXTON",,,,
20213230,Y. Sima,,,5596,"SIMA, YANKUBA",,,,
